,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,highlight,['hailait],"v.使显著,使突出;强调 n.最精彩的部分"
,highly,['haili],"ad.高度地,很,非常;赞许地"
,highway,['haiwei],"n.公路,大路"
,hijack,['haid??k],v.劫持，劫机，拦路抢劫
,hike,[haik],v.高涨，上升；n.徒步旅行
,hilarious,[hi'le?ri?s],a.充满欢乐的；引起大笑的
,hill,[hil],n.小山，山岗，高地；[pl.]丘陵(地带)
,hillbilly,['hil?bili],"n.山地内部的贫农,山里人"
,hillock,['hil?k],n.小丘
,hillside,['hil'said;'hil?said],n.(小山)山腰;山坡
,hilly,['hili],"a.多小山的,多坡的"
,hilt,[hilt],n.(剑或刀之)柄
,him,"[him, 弱im]",pron.他(he的宾格形式)
,himself,[him'self],pron.[反身代词]他自己；他本人
,hinder,['hind?],v.阻碍，妨碍
,hindsight,['haindsait;'haind?sait],n.后见之明
,hinge,[hind?],n.铰链；节点，枢轴
,hint,[hint],"n.暗示,提示,线索 v.暗示,示意"
,hinterland,['hint?l?nd],n.内地；穷乡僻壤
,hip,[hip],n.臀部，髋；屋脊
,hippopotamus,"[,hip?'p?t?m?s]",n.河马
,hire,[hai?],"n./v.雇用,租借"
,hireling,['hai?li?],"n.雇工,雇员,为金钱干活的人"
,hirsute,['h?:sju:t],a.多毛的
,his,"[hiz, 弱iz]",pron.[he的所有格/物主代词]他的(所有物)
,Hispanic,[his'p?nik],a.西班牙的
,hiss,[his],v.（表示不赞成或不满某人）作嘘声；(蛇等)发出嘶嘶声
,histology,[his't?l?d?i],n.细胞组织学
,historian,[his't?:ri?n],n.历史学家
,historic,[his't?rik],a.有历史意义的;历史的
,historical,[his't?rik?l],a.历史的;有关历史的
,history,['hist?ri],"n.历史,历史学;来历,经历"
,histrionic,"[,histri'?nik]",a.[贬]做作的，演戏的；表演的，剧院的
,hit,[hit],"v.打,击;碰撞 n.击中;成功而风行一时的事物"
,hitherto,"[,hi??'tu:]",adv.到目前为止
,hive,[haiv],n.蜂房；忙碌之地
,hoard,[h?:d],v./n.贮藏，秘藏
,hoarse,[h?:s],a.嘶哑的，粗哑的
,hoary,['h?:ri],a.(头发)灰白的；古老的
,hoax,[h?uks],n./v.骗局，欺骗
,hobble,['h?bl],v.蹒跚；跛行
,hobby,['h?bi],"n.业余爱好,嗜好,兴趣"
,hockey,['h?ki],n.曲棍球
,hodgepodge,['h?d?p?d?],n.混淆，杂烩
,hoe,[h?u],n.锄头
,hog,[h?g],n.猪
,hoist,[h?ist],v.吊高，升起；n.起重机
,hold,[h?uld],n.(船)货舱
,holder,['h?uld?],"n.持有者,占有者;(台,架等)支持物"
,hole,[h?ul],"n.洞,孔"
,holiday,['h?l?di],"n.假日,节日,假期,休假"
,holistic,[h?u'listik],"a.全面的,全盘的"
,hollow,['h?l?u],"a.空的,中空的;空洞的,空虚的 v.挖空,凿空"
,holocaust,['h?l?k?:st],n.大屠杀，浩劫
,holograph,['h?l?uɡrɑ:f],n.亲笔信
,holster,['h?ulst?],n.手枪皮套
,holy,['h?uli],"a.神圣的,圣洁的"
,homage,['h?mid?],n.（向伟人表示的）崇敬
,home,[h?um],"ad.回家,在家 n.家；家乡a.家庭的；家乡的"
,homely,['h?umli],a.朴素的；不漂亮的
,homemade,['h?um'meid],"a.自制的,家里做的"
,homeopathy,[?h?umi'?p?θi],n.顺势疗法
,homeostasis,"[,h?umi?u'steisis]",n.体内平衡，自我平衡
,homesick,['h?umsik;'h?um?sik],"a.思家的,思乡病的"
,homespun,['h?umsp?n;'h?um?sp?n],a.家里(织)的;朴素的
,homework,['h?umw?:k],n.(学生的)家庭作业、课外人员
,homicide,['h?misaid;'h?m??said],"n.杀人,杀人者"
,homiletics,"[,h?mi'letiks]",n.讲道术，说教术
,homily,['h?mili],n.说教，训诫
,hominid,['h?minid],n./a.灵长目动物(的)
,hominization,[h?minai'zei??n],n.人(性化);(灵长类动物等的)人化，人化过程
,homogeneity,"[,h?m?ud?e'ni:iti]",n.同种，同质
,homogeneous,"[,h?m?u'd?i:nj?s]",a.同类的，相似的
,homogenize,[h?'m?d??naiz],v.(液体)使匀质，使均匀，使一致
,homograph,['h?m?uɡrɑ:f],n.同形异义字
,hone,[h?un],n.磨刀石；v.磨刀
,honest,['?nist],"a.诚实的,正直的,老实的"
,honey,['h?ni],"n.蜜,蜂蜜"
,honor,['?n?],"n.(honour)尊敬,敬意;荣誉,光荣 v.尊敬"
,honorable,['?n?r?bl],"a.(honourable)可敬的;荣誉的,光荣的"
,honorarium,"[,?n?'re?ri?m]",n.酬劳金，谢礼
,honourable,['?n?r?bl],"a.光荣的,荣誉的;可尊敬的"
,hoodwink,['hudwi?k],v.蒙混，欺骗
,hoof,[hu:f],n.(牛马的)蹄
,hook,[huk],"n.钩,吊钩,钩状物 v.钩住"
,hoop,[hu:p],n.(桶之)箍，铁环
,hooray,[hu'rei],int.好哇!(欢呼声)
,hop,[h?p],v.人单足跳;跳上(车等) n.蹦跳;短程飞行
,hope,[h?up],n.希望，期望；希望的人或事 v.希望，期望
,hopeful,['h?upful],a.给人希望的，抱有希望的
,horde,[h?:d;h?urd],n.一大群
,horizon,[h?'raiz?n],"n.地平线;眼界,见识"
,horizontal,"[,h?ri'z?ntl]",a.水平的
,hormone,['h?:m?un],n.荷尔蒙，激素
,horn,[h?:n],n.（动物的）角，角质；喇叭
,hornbill,['h?:nbil;'h?:n?bil],"n.犀鸟,犀鸟科"
,horned,[h?:nd],"a.有角的,角状的"
,hornet,['h?:nit],n.大黄蜂类
,horology,[h?'??l?d?i],n.测时法；钟表制造术
,horoscope,['h?r?sk?up;'h?r??sk?up],n.占星术
,horrendous,[h?'rend?s],a.可怕的，令人恐惧的
,horrible,['h?r?bl],a.令人恐惧的，可怕的；极讨厌的，糟透的
,horrific,[h?'rifik],a.可怕的
,horror,['h?r?],"n.恐怖,战栗"
,horror film/movie,,n.恐怖电影
,horse,[h?:s],n.马；跳马，鞍马 v.骑马
,horsepower,"['h?:s,pau?]",n.[机]马力
,hortative,['h?:t?tiv],a.激励的
,hortatory,['h?:t?t?ri;'h?:t??t?uri:],a.劝告的;激励的
,horticulture,['h?:tik?lt??],n.园艺学(gradening)
,hose,[h?uz],"n.水龙带,软管 v.用软管(淋浇,冲洗)"
,hospitable,['h?spit?bl],a.豁达的，好客的
,hospital,['h?spit?l],n.医院
,hospitality,"[,h?spi't?l?ti]","n.好客,殷勤,款待"
,hospitalize,['h?spit?laiz;'h?spit?l?aiz],v.使住院
,host,[h?ust],"n.主人;旅店老板;节目主持人;一大群,许多"
,hostage,['h?stid?],n.人质
,hostess,['h?ustis],"n.女主人,女主持人"
,hostile,['h?stail],a.敌对的，敌意的
,hostility,[h?s'tiliti],n.敌对，不友好，憎恨
,hot,[h?t],a.(炎)热的；辣的；急躁的；激动的；热衷的
,hotel,[h?u'tel],n.旅馆
,hound,[haund],n.猎狗；卑鄙的人 vt.用猎狗追，追逐
,hour,['au?],n.小时，钟点；时刻；课时，工作时间
,house,"[haus, hauz]",n.房屋；商业机构；[H-]议院 v.给...房子住
,household,['haush?uld],n.家庭，家人 a.家庭(务)的，家常的
,housemaid,['hausmeid;'haus?meid],n.女仆
,housewife,['hauswaif],n.家庭主妇
,housework,['hausw?:k],n.家务，家事(不可数)
,housing,"['h?v?, 'h?-]",n.住房，住房供给；(外、阀)壳，防护罩
,housing start,[stɑ:t],n.楼房破土动工
,hovel,['h?v?l],n.（贬）茅舍；肮脏的小屋
,hover,['h?v?],v.翱翔；(人)徘徊
,hovercraft,['h?v?krɑ:ft;'h?v??kr ɑ:ft],n.气垫船
,how,[hau],ad.1.(表示方法、手段、状态)怎样；如何
,however,[hau'ev?],ad.然而，可是，不过，无论如何 conj.无论
,howl,[haul],n.怒吼，嗥叫 vi.(风等)怒吼，咆哮
,howler,['haul?],n.嚎叫的人或动物；滑稽可笑的错误
,hub,[h?b],n.轴心；中心
,hubbub,['h?b?b],n.嘈杂，喧哗
,hubris,['hju:bris],n.过分自傲，目中无人
,huckster,['h?kst?],n.叫卖小贩，零售商
,huddle,['h?dl],v.挤成一堆n.一堆人(杂物)
,hue,[hju:],n.色彩，色泽
,hue and cry,,"n.大声抗议,呐喊"
,huffish,['h?fi?],a.不高兴的，傲慢的
,huffy,['h?fi],a.愤怒的，怨恨的
,hug,[h?ɡ],"v./n.热烈拥抱,紧抱"
,huge,[hju:d?],"a.巨大的,庞大的"
,hulk,[h?lk],n.废船壳；笨重之人或物
,hull,[h?l],n.外壳；荚；船身；v.剥去外壳
,hum,[h?m],v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声
,human,['hju:m?n],"a.人的,人类的 n.人"
,humane,[hju:'mein],a.人道的，慈悲的
,humanist,['hju:m?nist],"n.人道主义者,人文主义者"
,humanistic,[?hju:m?n'istik],a.人性的;人文主义的
,humanitarian,[hju:?m?ni't??ri?n],"n.人道主义者,博爱主义者;a.人道主义的,博爱的"
,humanity,[hju:'m?n?ti],"n.人类,人性,人情;(pl.)人文科学"
,humble,['h?mbl],a.（人）出身卑微的；谦虚的；v.使谦卑
,humdrum,['h?mdr?m],a.单调的，乏味的
,humid,['hju:mid],a.湿润的
,humidity,[hju:'miditi],n.湿度，湿气
,humiliate,[hju(:)'milieit],v.使屈辱
,humility,[hju(:)'militi],n.谦逊，谦恭
,hummingbird,['h?mi?b?:d;'h?mi??b?:d],n.蜂鸟
,hummock,['h?m?k],n.小圆丘
,humor,['hju:m?],v.纵容，迁就
,humoral,['hju:m?r?l],a.体液的
,humorous,['hju:m?r?s],a.富于幽默感的，幽默的；滑稽的
,hump,[h?mp],"n.驼背;峰,圆形隆起之物"
,humus,['hju:m?s],n.腐殖土
,hunch,[h?nt?],n.直觉，预感
,hundred,['h?ndr?d],num.百，一百；[pl.]许多 a.一百的；许多
,hunger,['h??ɡ?],n./v.饥饿;渴望
,hungry,['h??ɡri],"a.饥饿的,渴望的"
,hunk,[h??k],n.大块(食物)
,hunker,['h??k?],v.蹲下；顽固地坚持
,hunt,[h?nt],"v./n.打猎,猎取;(for)搜索;寻找"
,hurdle,['h?:dl],n.跳栏；障碍；v.克服(障碍)
,hurl,[h?:l],v.猛投；大声叫骂
,hurricane,['h?rik?n],n.飓风
,hurry,"['h?ri, 'h?:ri]",vi.匆忙 vt.催促;急运(派) n.急(匆)忙
,hurt,[h?:t],"n.伤痛,伤害 v.刺痛,伤害;伤…的感情"
,hurtle,['h?:tl],v.急飞
,husband,['h?zb?nd],v.妥善而又节约地管理；做?的丈夫
,husbandry,['h?zb?ndri],n.耕种，务农；节敛管理
,hush,[h??],v./n.肃静，安静
,husk,[h?sk],n.（没价值的）外壳；(种子、果实的)外壳、皮、荚
,husky,['h?ski],a.声音沙哑的
,hustle,['h?sl],"n.挤,推,拥挤喧嚷"
,hut,[h?t],n.简陋的房子，棚
,hyaline,['hai?lin],a.透明的;玻璃样的
,hybrid,['haibrid],n.杂交的动植物；混血人
,hydrant,['haidr?nt],n.(消防)水龙头，消防栓
,hydrate,['haidreit],n.水化物；v.水化
,hydration,[hai'drei??n],n.水合(作用)
,hydraulic,[hai'dr?:lik],a.水力的;液力的;水压的;液压的
,hydrocarbon,['haidr?u'kɑ:b?n],"n.[化]烃,碳氢化合物"
,hydrogen,['haidr?d??n],n.氢
,hydrolysis,[hai'dr?lisis;hai'dr?l?sis],n.水解(作用)
,hydrophobia,[?haidr?'f?ubi?],"n.狂犬病,恐水病"
,hydropic,[hai'dr?pik],a.水肿的(浮肿的)
,hydrosphere,['haidr?sfi?],"n.水圈,水气,水界"
,hydrotherapy,['haidr?u'θer?pi],n.水疗法
,hygiene,['haid?i:n],n.卫生学；卫生
,hymn,[him],n.赞美诗
,hyperacid,[haip?(:)'r?sid],a.胃酸过多的;酸过多的
,hyperactivity,"[,haip?r?k'tiv?ti]",n.活动过强，极度亢奋
,hyperbole,[hai'p?:b?li],n.（文）夸张法
,hypernosis,,n.催眠术;催眠状态
,hyperplasia,[?haip?'plei??],n.增生
,hypersensitive,['haip?'sensitiv],a.高灵敏度的;感觉过敏的
,hypertension,"[,haip?'ten??n]",n.高血压
,hypertherm,['haip?(:)θ?:m],n.[医]人工发热器
,hyphen,['haif?n],n.连字号(即“-”)
,hypnotherapy,[?hipn?u'θer?pi],n.催眠疗法
,hypnotic,[hip'n?tik],a.催眠的；n.催眠药
,hypnotist,['hipn?tist],n.施行催眠术的人
,hypocrisy,[hi'p?krisi],n.伪善，虚伪
,hypocrite,['hip?krit],n.伪善者，伪君子
,hypocritical,"[,hip?'kritik?l]",a.虚伪的
,hypodermic,"[,haip?u'd?:mik]",a.皮下注射的
,hypoplasia,[?haip?'plei??],n.发育不全
,hypotension,[?haip?'ten??n],n.低血压
,hypotenuse,[hai'p?tinju:z],n.(直角三角形的)斜边
,hypothalamus,[?haip?'θ?l?m?s],n.(生)丘脑下部;视丘下部
,hypothesis,[hai'p?θisis],n.假设，假说
,hypothesize,[hai'p?θisaiz;hai'p?θ??saiz],"v.假设,假定"
,hypothetical,"[,haip?u'θetik?l]",a.假设的
,hysterectomy,[?hist?'rekt?mi],n.[医]子宫切除术
,hysteria,[his'ti?ri?],n.歇斯底里症
,hysterical,,"a.情绪异常激动的,歇斯底里的"
,I,,pron.(主格)我
,ibuprofen,[i?bju:'pr?uf?n],n.布洛芬(退烧和解除疼痛的止痛药)
,ice,[ais],n.冰；冰冻甜食 vt.冰冻，使成冰
,ice cream cone,,n.冰淇淋蛋卷
,ice sheet,,n.冰层
,ice-cream,['aiskri:m],n.冰淇淋
,ice-polished,,a.冰蚀的
,iceberg,['aisb?:g;'ais?b?:g],n.冰山
,ichthyologist,[?ikθi'?l?d?ist;?ikθi'?l?d??st],n.[`ikθi' ?l?d??st]鱼类学者
,icicle,['aisikl],n.冰柱，冰垂
,icing,['aisi?],n.糖衣，糖霜
,icon,['aik?n],n.圣像，偶像
,iconoclast,[ai'k?n?kl?st],n.攻击传统观念或风俗的人
,iconoclastic,"[ai,k?n?'kl?stik]",a.对传统观念(或惯例)进行攻击的
,iconographic,[?aik?n?'gr?fik],a.图解的
,iconography,[?aik?'n?gr?fi;?aik?'n?gr?fi],"n.肖像画法;肖像学;插画,图解"
,icteric,[ik'terik],a.黄疽的
,icy,['aisi],"a.冰冷的,冷冰冰的;结冰的,多冰的"
,id(idem),['ai'di:],pron.同上;同前
,idea,"[ai'di?, 'ai'di?]",n.想法，念头；概念，观念；意见，主意
,ideal,[ai'di?l],a.理想的;空想的;理想主义的;唯心的 n.理想
,identical,[ai'dentik?l],"a.(to.with)同一的,同样的"
,identifiable,[ai'dentifai?bl],a.可辨认的
,identification,"[ai,dentifi'kei??n]","n.识别,鉴别;证件;认同"
,identify,[ai'dentifai],"v.识别,鉴别;(with)把…和…看成一样"
,identity,[ai'dent?ti],n.身份;本体;特征;同一(性);一致;国籍;等式
,ideographic,[?idi?u'gr?fik;?idi?'gr?fik],"a.表意文字的,表意符号的"
,ideological,[?aidi?'l?d?ik?l],"a.思想上的,意识形态的"
,ideology,"[,aidi'?l?d?i]",n.思想体系，思想意识，意识形态
,idioglossia,[idi?'gl?:si?],n.自解语症(只有自己懂的语言)
,idiom,['idi?m],n.习语，语言的习惯用法；特色
,idiomatic,[?idi?'m?tik],"a.成语的;惯用的,通顺的"
,idiopathic,[?idi?'p?θik],"a.自发的,特发的;原发的"
,idiosyncrasy,[?idi?'si?kr?si],"n.特质,个性(个人或团体所特有的结构或行为上的特点);(一种脾气上的)特异性格"
,idiot,['idi?t],n.白痴；极蠢的人；笨蛋
,idle,['aidl],a.(指人)无所事事的；无效的；v.懒散，无所事事
,idol,['aidl],n.神像；偶像
,idolater,[ai'd?l?t?],n.神像(偶像)崇拜者
,idolatrize,[ai'd?l?traiz],v.奉为偶像，盲目崇拜
,idolize,['aid?laiz],v.将?当作偶像崇拜；极度喜爱或仰慕
,idyll,['idil],n.田园生活；田园诗
,idyllic,[ai'dilik],a.田园诗的
,if,,conj.(用于连接宾语从句)是否；是不是
,igneous,['iɡni?s],a.火的，含火的
,ignite,[iɡ'nait],v.发光；点燃，燃烧
,ignition,[ig'ni??n],"n.点火,着火:an ignition point 燃点"
,ignoble,[iɡ'n?ubl],a.卑鄙的
,ignominious,[iɡn?'mini?s],a.可耻的；耻辱的
,ignominy,['iɡn?mini],n.羞耻，屈辱
,ignorance,['iɡn?r?ns],"n.无知,愚昧;不知道"
,ignorant,['iɡn?r?nt],a.无知的，愚昧的
,ignore,[iɡ'n?:],"v.不理,不顾,忽视"
,iguana,[i'gwɑ:n?],n.[动]鬣蜥(产于美洲和西印度群岛的一种大蜥蜴)
,ileocolic,,a.回结肠的
,ileum,['ili?m],n.回肠
,ileus,['ili?s],n.肠梗阻
,ill,[il],a.有病的；坏的；恶意的 ad.坏地；不利地
,illegal,[i'li:ɡ?l],a.违法的
,illegible,[i'led??bl],a.难读的，难认的
,illegitimate,"[,ili'd?itimit]",a.不合法的；私生的
,illiberal,[i'lib?r?l],a.气量狭窄的
,illicit,[i'lisit],a.违法的
,illiterate,[i'lit?rit],a.文盲的
,illness,['ilnis],"n.病,疾病"
,illogical,[i'l?d?ik?l],a.不合逻辑的;说不通的;无条理的
,illuminate,[i'lju:mineit],v.阐明，解释；照亮
,illuminati,"[i,lu:mi'nɑ:ti]",n.先觉者，智者
,illumination,[i?lju:mi'nei??n;i?lju:m?'nei??n],n.照明;启发
lusion,illusion,[i'lu:??n],n.假象，错觉
,illusionary,[i'lu:??n?ri],"a.幻觉的,错误的"
lusion,illusive,[i'lu:siv],a.迷惑人的，迷幻的
lusion,illusory,[i'lu:s?ri],a.虚幻的
,illustrate,['il?streit],v.为?作插图或图表；说明，阐明
,illustration,"[,il?'strei??n]",n.说明；例证，插图；举例说明
,illustrious,[i'l?stri?s],a.著名的，显赫的
,image,['imid?],n.形象，声誉；印象；像；形象的描述，比喻
,imagery,['imid??ri],"n.(艺术、文学)肖像,形象;形象化的比喻"
,imaginable,[i'm?d?in?bl;i'm?d?in?b?l],a.可以想象得到的
,imaginary,[i'm?d?in?ri],"a.想象的,虚构的"
,imagination,"[i,m?d?i'nei??n]",n.想象(力)；空想，幻觉；想象出来的事物
,imaginative,[i'm?d?in?tiv],"a.富有想象力的,爱想象的"
,imagine,[i'm?d?in],"v.想象,设想,料想"
,imbalance,[im'b?l?ns],"n.不平衡,不均衡"
,imbecile,['imbisail],n.心智能力极低的人
,imbibe,[im'baib],v.饮；吸入
,imbroglio,[im'br?uli?u],n.纠纷，误解；(政治或感情上的)错综复杂的局面
,imbue,[im'bju:],v.激发某人、使某人充满强烈的情感或意见
,imitate,['imiteit],"v.模仿,仿效;仿造,伪造"
,imitation,[imi'tei??n],n.赝品；效仿
,imitative,['imit?tiv],a.模仿的
,immaculate,[i'm?kjulit],a.洁净的，无瑕的
,immanent,['im?n?nt],a.内在的，天生的；(上帝)普遍存在的，无处不在的
,immaterial,[?im?'ti?ri?l;?im?'tiri?l],a.无关紧要的;非实体的(没有物质实体和形态的)
,immature,[?im?'tju?],a.发育未全的;未成年的;未成熟的
,immeasurable,[i'me??r?bl;i'me??r?b?l],a.无法计量的
,immediate,[i'mi:di?t],"a.立即的,即时的;直接的,最接近的"
,immediately,[i'mi:di?tli;i'mi:diitli],"ad.立即,马上"
,immemorial,"[,imi'm?:ri?l]",a.太古的，极古的，无法追忆的
,immense,[i'mens],a.极大的；无限的
,immensity,[i'm?nsiti],n.巨大之物；无限
,immerse,[i'm?:s],v.浸入；沉浸于
,immigrant,['imiɡr?nt],"a.(从国外)移来的,移民的 n.移民,侨民"
,immigration,[?imi'grei??n;?im?'grei??n],"n.外来的移民,移居入境"
,imminent,['imin?nt],a.(尤指不愉快的事)即将发生的，逼近的
,immobile,[im'm?ubail;im'm?ubi:l],"a.稳定的,不动的,静止的"
,immobilize,[i'm?ubilaiz;i'm?ubi?laiz],"vt.使不动,使固定"
,immolate,['im?uleit],v.牺牲，焚祭
,immoral,[i'm?:r?l;i'm?r?l],a.不道德的
,immortal,[i'm?:tl],a.不朽的，流芳百世的
,immortalize,[i'm?:t?laiz;i'm?:t?l?aiz],"v.使不朽,使名垂千古"
,immune,[i'mju:n],a.免疫的；免除的
,immune system,,n.免疫系统
,immunity,[i'mju:niti],n.免疫；豁免
,immunize,[i'mju(:)naiz],v.使免疫
,immunodeficiency,[i'mju:n?udi'fi??ns,n.免疫缺陷;免疫缺损
,immunological,[i'mju:n?l?d?ik?l],n.[医]免疫学的
,immunology,[?imju'n?l?d?i;?imj?'n?l?d?i],n.免疫学
,immunoregulation,[imjun?uregju'lei??n],n.免疫调节
,immunotherapy,[i'mju:n?u'θer?pi],n.免疫疗法
,immure,[i'mju?],v.监禁
,immutable,[i'mju:t?bl;i'mju:t?b?l],"a.永恒的(不可改变的,永远不变的)"
,imp,[imp],n.小鬼；顽童
,impact,['imp?kt],n.冲击，影响
,impair,[im'pe?],v.损害，使弱
,impale,[im'peil],v.刺入，刺中
,impalpable,[im'p?lp?bl],a.无法触及的；不易理解的
,impart,[im'pɑ:t],v.传授，告知
,impartial,[im'pɑ:??l],a.公平的，无私的
,impartiality,['im?pɑ:?i'?liti;?impɑ:?i'?l?ti],"n.公平,无私"
,impartially,[im'pɑ:??li],"ad.公平地,无私地"
,impasse,[?m'pɑ:s],n.僵局；死路
,impassioned,[im'p??(?)nd],a.慷慨激昂的
,impassive,[im'p?siv],a.无动于衷的，冷漠的
,impatience,[im'pei??ns],"n.不耐烦,急躁;渴望,切望"
,impatient,[im'pei??nt],"a.不耐烦的,急躁的"
,impeach,[im'pi:t?],v.怀疑，提出异议；弹劾
,impeccable,[im'pek?bl],a.无瑕疵的，无错误的
,impecunious,"[,impi'kju:nj?s]",a.不名一文的，贫困的
,impede,[im'pi:d],v.妨碍
,impediment,[im'pedim?nt],n.妨碍，阻碍物
,impel,[im'pel],v.推进；驱使
,impend,[im'pend],v.进行威胁；即将发生
,impending,[im'pendi?],a.行将发生的，逼近的
,impenetrable,[im'penitr?bl],a.不能穿透的；不可理解的
,impenitent,[im'penit?nt],a.不悔悟的
,imperative,[im'per?tiv],a.急需的
,imperfection,[?imp?'fek??n],n.杂质
,imperial,[im'pi?ri?l],a.帝王的，至尊的
,imperil,[im'peril],v.使陷于危险中，危及
,imperious,[im'pi?ri?s],a.傲慢的，专横的
,impermanent,[im'p?:m?n?nt],a.暂时的
,impermeability,"[im,p?:mi?'bil?ti]",n.不能渗透（液体）
,impermeable,[im'p?:mj?bl],a.不容液体渗透的，液体透不过的
,impersonal,[im'p?:s?n?l],"a.冷淡的;没有感情的;客观的,无私的"
,impersonate,[im'p?:s?neit],v.模仿；扮演
,impersonation,[im?p?:s?'nei??n],"n.模仿,扮演"
,impertinence,[im'p?:tin?ns],n.无礼，粗鲁
,imperturbable,"[,imp?(:)'t?:b?bl]",a.冷静的，沉着的
,impervious,[im'p?:vj?s],a.（液体、气体）不能渗透的；不为所动的
,impetuosity,[im?petju'?siti;im?pet?u'?s?ti],n.急燥;鲁莽;冲动
,impetuous,[im'petju?s],a.冲动的，鲁莽的
,impetus,['impit?s],n.(物)推动力；推动，刺激
,impiety,[im'pai?ti],n.不尊敬;不虔诚
,impinge,[im'pind?],v.侵犯；撞击
,implant,[im'plɑ:nt],v.注入，植入；灌输（思想）
,implausible,[im'pl?:z?bl],a.难以置信的
,implement,['implim?nt],n.工具，器具；v.实现，实施
,implicate,['implikeit],v.牵连(于罪行中)；暗示
,implication,"[,impli'kei??n]",n.暗示
,implicit,[im'plisit],a.含蓄的，不言而喻的
,implode,[im'pl?ud],v.内爆，向心聚爆；剧减
,implore,[im'pl?:],v.哀求，恳求
,imply,[im'plai],"v.意指,含…意思,暗示"
,impolitic,[im'p?litik],a.不智的，失策的
,imponderable,[im'p?nd?r?bl],a.(重量等)无法衡量的，不可估量的
,import,"[im'p?:t,",'imp?:t]n./v.进口，输入；意义，重要性
,import relief,,进口援助(设置壁垒以保护民族工业)
,importance,[im'p?:t?ns],"n.重要,重要性"
,important,[im'p?:t?nt],"a.重要的,重大的;有地位的,有权力的"
,importune,[im'p?:tju:n],v.（尤指令人厌烦的地）强求，不断请求
,impose,[im'p?uz],v.征税；强加
,imposing,[im'p?uzi?],a.壮丽的，雄伟的
,imposition,[?imp?'zi??n],"n.征税,强加"
,impossible,[im'p?s?bl],a.不可能的；难以忍受的，很难对付的
,impostor,[im'p?st?],n.冒充者，骗子
,imposture,[im'p?st??],n.冒充
,impotent,['imp?t?nt],"a.无力的;虚弱的;阳痿的,不能生育的"
,impoverish,[im'p?v?ri?],v.使成赤贫
,impractical,[im'pr?ktik?l],a.不切实际的
,impracticality,[im?pr?kti'k?liti],"n.不切实际,办不到"
,imprecation,[impri'kei?(?)n],n.祈求，诅咒
,imprecise,"[,impri'sais]",a.不精确的，不严密的
,impregnable,[im'preɡn?bl],a.攻不破的，征服不了的
,impresario,"[,impre'sɑ:ri?u]",n.(剧院或乐团等)经理人，主办者
,impress,"[im'pres, 'impres]","v.(on)印,盖印;留下印象,引人注目"
,impressed,[im'prest],a.被打动的；被感动的
,impression,[im'pre??n],n.印象，感想；盖印的压痕
,impressionable,[im'pre??n?b(?)l],a.易受影响的
,impressive,[im'presiv],"a.给人深刻印象的,感人的"
,imprint,[im'print],v.盖印，刻印
,imprison,[im'prizn;im'priz?n],"v.关押,监禁"
,imprisonment,[im'priznm?nt],n.监禁
,improbable,[im'pr?b?bl;im'pr?b?b?l],a.不可能的
,impromptu,[im'pr?mptju:],a.即席的，即兴的
,improper,[im'pr?p?],a.不适当的;不合理的
,improper fraction,,假分数
,improve,[im'pru:v],"v.改善,改进,增进;好转,进步"
,improvement,[im'pru:vm?nt],"n.改进,进步,增进;改进措施"
,improvident,[im'pr?vid?nt],a.无远见的；不节俭的，浪费的
,improvise,['impr?vaiz],v.即席而作
,improvised,['impr?vaizd],a.临时准备的，即席而作的
,improviser,['impr?vaiz?;'impr??vaiz?],n.即席演奏者
,improvision,,n.即席创作
,imprudent,[im'pru:d?nt],a.轻率的，不谨慎的，不智的
,impudent,['impjud?nt],a.鲁莽的，无礼的
,impugn,[im'pju:n],v.对?表示怀疑
,impuissance,[im'pju(:)isns],n.无力，虚弱
,impulse,['imp?ls],n.冲动；推动，刺激
,impulsive,[im'p?lsiv],a.易冲动的
,impunity,[im'pju:niti],n.免除惩罚
,impure,[im'pju?],a.淫乱的
,imputation,"[,impju(:)'tei??n]",n.归咎，归罪
,impute,[im'pju:t],v.归咎于
,in,[in],prep.在…里(内，上)；用…(表示)ad.进，入
,in-house,['in?haus],a.起源于机构内部的;机构内部的
,inability,[?in?'biliti;?in?'bil?ti],"n.无能,无力"
,inaccessible,[?in?k'ses?bl;?in?k'ses?b?l],"a.难达到的,不可及的;不能得到的"
,inactivate,[in'?ktiveit;in'?kt??veit],vt.使...不活跃
,inadequate,[in'?dikwit;in'?d?kwit],"a.不充分的,不适当的"
,inadvertence,"[,in?d'v?:t?ns]",n.漫不经心
,inadvertent,[?in?d'v?:t?nt],"a.不经心的,疏忽的;非故意的"
,inadvertently,"[,in?d'v?:t?ntli]",adv.不小心地，非故意地，无意地
,inalienable,[in'eilj?n?bl],a.不可剥夺的，不能让与的
,inamorata,"[in,?m?'rɑ:t?]","n.恋人,情妇"
,inane,[i'nein],a.无意义的；空洞的
,inanimate,[in'?nimit],a.无生命的
,inappetence,[in'?pit?ns],n.食欲不振;欲望缺失
,inappreciable,"[,in?'pri:??bl]",a.微不足道的
,inappropriate,[?in?'pr?upriit],"a.不适当的,不相称的"
,inasmuch,[in?z'm?t?],conj.因为;鉴于
,inaugural,[i'n?:ɡjur?l],a.就职的，开幕的
,inaugurate,[i'n?:ɡjureit],v.举行就职典礼；开创
